Timestamp,CPU Usage (%),Response Time (ms),lat,lon,heading
2025-03-02 19:55:23,9.1,0.081378,27.2462296222,-82.4936761668,10.517152941176477
2025-03-02 19:55:26,10.1,0.044961,27.2462254182,-82.4936756155,9.367552941176484
2025-03-02 19:55:28,5.2,0.040001,27.2462239908,-82.493675369,7.237052941176472
2025-03-02 19:55:29,1.8,0.042209,27.2462229042,-82.4936751133,5.805752941176479
2025-03-02 19:55:30,2.5,0.061761,27.2462219622,-82.493675236,3.2603529411764782
2025-03-02 19:55:31,2.2,0.041569,27.2462220572,-82.4936766248,0.4341529411764782
2025-03-02 19:55:32,2.2,0.043169,27.2462242872,-82.4936781633,5.519752941176478
2025-03-02 19:55:33,1.8,0.045216,27.24622746,-82.4936789078,17.26925294117649
2025-03-02 19:55:34,1.8,0.043777,27.2462305672,-82.4936785635,29.251652941176474
2025-03-02 19:55:35,2.3,0.043521,27.2462338025,-82.4936783945,28.454352941176467
2025-03-02 19:55:36,2.5,0.044512,27.2462360012,-82.4936786343,17.335852941176483
2025-03-02 19:55:37,2.7,1.411446,27.2462362192,-82.4936792097,14.101352941176486
2025-03-02 19:55:38,4.3,0.046497,27.2462350385,-82.4936802018,12.09485294117647
2025-03-02 19:55:39,2.3,0.041888,27.246234133,-82.4936810198,9.680952941176486
2025-03-02 19:55:40,3.8,0.043777,27.2462338882,-82.4936812397,6.792552941176467
2025-03-02 19:55:41,2.5,0.832717,27.2462339085,-82.4936812767,5.363652941176468
2025-03-02 19:55:42,2.6,0.842829,27.2462337267,-82.4936815183,1.951452941176484
2025-03-02 19:55:43,2.2,0.045313,27.2462334995,-82.4936815545,357.4995529411765
2025-03-02 19:55:44,2.5,0.043649,27.246233896,-82.4936812978,5.615452941176471
2025-03-02 19:55:45,2.6,0.04336,27.2462339368,-82.4936810292,14.959552941176469
2025-03-02 19:55:46,2.2,0.855982,27.2462339653,-82.493681186,16.290852941176468
2025-03-02 19:55:47,3.6,0.046881,27.2462338617,-82.4936812385,16.476552941176493
2025-03-02 19:55:48,2.2,0.043905,27.2462336655,-82.4936814318,18.94275294117648
2025-03-02 19:55:49,2.5,0.082786,27.246233645,-82.4936814538,18.929852941176478
2025-03-02 19:55:50,2.5,0.044097,27.2462337255,-82.4936812845,17.80405294117648
2025-03-02 19:55:51,2.5,0.906254,27.2462338792,-82.4936808923,17.630952941176474
2025-03-02 19:55:52,2.5,0.880941,27.2462340035,-82.4936798347,18.361252941176474
2025-03-02 19:55:53,2.2,0.043361,27.2462337683,-82.4936787085,18.559052941176475
2025-03-02 19:55:54,2.3,0.0408,27.2462337052,-82.4936776715,19.541052941176474
2025-03-02 19:55:55,2.5,0.038912,27.2462337548,-82.4936768115,20.181852941176487
2025-03-02 19:55:56,2.5,0.039905,27.2462338787,-82.4936762482,20.504652941176488
2025-03-02 19:55:57,2.0,0.054465,27.2462340037,-82.4936760002,20.812152941176493
2025-03-02 19:55:58,2.3,0.041697,27.2462340725,-82.4936758502,21.287652941176475
2025-03-02 19:55:59,2.3,0.041568,27.2462341377,-82.4936757258,21.668052941176484
2025-03-02 19:56:00,2.5,0.075361,27.2462341828,-82.493675598,22.30005294117649
2025-03-02 19:56:01,2.5,0.996079,27.2462342215,-82.4936754295,22.511652941176493
2025-03-02 19:56:02,3.3,0.043841,27.2462342512,-82.4936754057,22.85455294117648
2025-03-02 19:56:03,2.2,0.04224,27.2462342827,-82.4936753523,22.86945294117649
2025-03-02 19:56:04,2.2,0.910926,27.2462343322,-82.4936752787,23.19395294117649
2025-03-02 19:56:05,2.0,0.042944,27.2462343828,-82.4936751545,23.465652941176472
2025-03-02 19:56:06,2.0,0.040704,27.2462344387,-82.4936750657,24.020052941176488
2025-03-02 19:56:07,2.6,0.043264,27.246234474,-82.4936749555,26.617552941176484
2025-03-02 19:56:08,4.0,0.044864,27.2462344778,-82.4936748178,32.020252941176494
